timestamp;open;low;high;close;volume
9/29/2021;5875;5850;6000;5925;32100
9/30/2021;5950;5850;6000;5925;13300
10/1/2021;5850;5850;6000;5975;3300
10/4/2021;5750;5750;5975;5800;20700
10/5/2021;5800;5600;5975;5600;29400
10/6/2021;5625;5625;6025;5900;64100
10/7/2021;5900;5800;6000;5900;9500
10/8/2021;5900;5900;6200;6050;105000
10/11/2021;6050;5975;6100;6050;126400
10/12/2021;6025;5975;6050;5975;53500
10/13/2021;6100;5950;6250;6100;23400
10/14/2021;6150;5950;6150;6150;27600
10/15/2021;6075;5875;6200;5900;25700
10/18/2021;5900;5900;6050;5925;15400
10/19/2021;5925;5925;6000;6000;24100
10/20/2021;5925;5925;6000;6000;0
10/21/2021;6000;5825;6000;6000;8200
10/22/2021;6025;5850;6025;6000;5300
10/25/2021;6000;5800;6025;5800;11500
10/26/2021;5800;5800;6000;5975;5100
10/27/2021;5825;5750;6000;6000;17700
10/28/2021;6000;5900;6000;5950;1200
10/29/2021;5950;5800;5950;5800;5900
11/1/2021;5825;5800;5975;5975;7400
11/2/2021;5975;5800;5975;5950;15500
11/3/2021;5925;5900;6000;6000;4000
11/4/2021;6000;5950;6000;5950;3300
11/5/2021;6000;5900;6000;5925;13100
11/8/2021;5900;5825;5925;5900;7300
11/9/2021;5900;5850;5925;5900;8000
11/10/2021;5925;5800;5925;5850;6400
11/11/2021;5850;5800;5900;5900;10600
11/12/2021;5900;5600;5925;5900;20500
11/15/2021;5875;5850;5900;5850;5500
11/16/2021;5900;5825;5925;5900;15600
11/17/2021;5900;5750;5900;5800;13400
11/18/2021;5712;5639;5737;5688;36198
11/19/2021;5712;5542;5737;5542;29514
11/22/2021;5542;5348;5639;5615;25812
11/23/2021;5737;5542;5737;5542;16556
11/24/2021;5639;5518;5639;5639;27971
11/25/2021;5639;5639;5737;5712;69312
11/26/2021;5664;5323;5664;5348;53166
11/29/2021;5348;4983;5348;5032;100265
11/30/2021;5080;4983;5178;5056;80521
12/1/2021;5225;4700;5225;4700;105600
12/2/2021;4650;4380;4650;4380;65500
12/3/2021;4380;4080;4380;4080;42400
12/6/2021;4080;3810;4600;4270;110200
12/7/2021;4300;4100;4450;4100;93800
12/8/2021;4120;4100;4360;4290;57400
12/9/2021;4300;4200;4450;4290;74200
12/10/2021;4290;4250;4350;4320;153000
12/13/2021;4390;4280;4390;4350;75300
12/14/2021;4350;4300;4390;4300;54200
12/15/2021;4360;4260;4370;4330;20000
12/16/2021;4350;4300;4400;4360;40600
12/17/2021;4400;4330;4450;4400;22000
